제목,내용
ELLT학과 국외교류 학점인정 내규 (2024.03.05 수정),"ELLT학과 국외교류 학점인정 내규입니다. (2021년 2학기부터 반영)
 
외국 대학 수강신청 전 반드시 학과장실로 문의하여 학점 인정 여부를 미리 파악하시기 바랍니다. 
첨부파일 국외교류 사전 학점 인정 신청서 다운로드 후 내용 작성하여 우리학과 메일로 문의
※ 사전 문의 없이 외국 대학에서 강의를 수강한 후 학점인정을 요청한 것에 대한 불이익은 학과에서 책임지지 않습니다. 

주요 내용 (자세한 사항은 첨부한 학과 내규를 반드시 확인해주시기 바랍니다.)

공통:
1. 전공필수 교과목은 외국 대학에서 수학 불가
2. 본교에서 이수한 이론 과목은 외국 대학에서 수학 불가
3. 외국 대학에서 이수한 과목은 본교에서 재수강 불가
4. 어학연수 과정은 전공으로 인정 불가

ELLT학과 주요 내규:
1. Department of English, English Linguistics, Linguistics, or Language Technology 과목만 ELLT/영어학과 전공학점으로 인정
2. BLS 학위 취득 관련 교과목(언어공학 교과목)은 6학점까지 인정(단, 학과에 개설된 과목과 동일한 성격의 과목에 한하여 인정)
3. Online 개설 과목은 원칙적으로 인정하지 않음 (코로나로 인해 온라인으로 변경된 수업도 이에 해당함)
4. 외국 대학에 상기 과목이 없고, 전공 학점으로 인정받고자 하는 과목이 있는 경우 사전에 학과장실로 반드시 문의
5. 영어대 교류 11학점 내에서 전공 학점 인정 가능
6. 16시간당 1학점으로 계산하며 초과 시간은 내림하여 계산
7. 이론 과목: 학과 지정 교과목으로 입력 
    - 본교에서 수강한 이론 과목은 외국 대학에서 수강 불가
    - 외국 대학에서 수강한 이론 과목은 본교에서 수강 불가 (중복 수강 금지 원칙)
    - 예, 외국 대학에서 English Syntax 과목을 수강한 경우, 본교에서 '영어구문론'을 듣지 않았으면 '영어구문론'으로 대체하여 인정. 이후 본교에서 '영어구문론'과목 수강 불가. '영어구문론' 강의를 본교에서 수강하였으나 English Syntax 과목을 수강하고자 하는 경우 자선학점으로 인정 가능
8. 실용 과목: 과목명을 직역하여 입력 
    - 말하기, 듣기, 쓰기, 읽기 과목
    - 학과 교과목과 비슷해도 중복 수강 가능


문의 사항: ELLT학과장실 방문 혹은 hufs_elg@hufs.ac.kr로 메일"
현장실습(인턴십) 전공학점 인정 내규 (2022.08.04 수정),"ELLT학과 현장실습(인턴십) 전공학점 인정 내규에 대해 안내드립니다. 
 
• 학기 중 현장실습(KOTRA를 포함한 인턴십)
- 전공 최대 7학점 인정
- 18학번부터: 이론 최대 3학점, 실용 최대 7학점 인정 (이론:실용 학점 비율은 학과장이 판단)
 
• 방학 중 현장실습(인턴십)
- 전공 최대 2학점 인정
- 18학번부터: 이론:실용 학점 비율은 학과장이 판단

• 현장실습(인턴십) 학점인정 절차 안내 
1. 현장실습 합격 후 현장실습 시작 이전 (현장실습 지원 이전에는 별도 제출할 필요 없으며, 지원 이전에 학점인정 가능 여부 문의 시 아래 1)과 2) 서류를 모두 제출)
    - 학과장실 제출 서류: 
       1) 현장실습 전공적합성 서류(첨부파일 참조)
       2) 현장실습(인턴십) 신청서(현장실습 홈페이지에서 출력)
    - 전공적합성 서류: 학점인정 가능 여부 판단을 위해 지원할 기관과 업종, 업무 내용이 담긴 현장실습 전공적합성 서류(첨부)를 작성하여 학과장실로 제출
    - 현장실습(인턴십) 신청서: 학과장님 승인 후 현장실습지원센터에 현장실습 신청서 제출
 
2. 현장실습 중
    - 출근부, 주간보고서 등 작성(현장실습 홈페이지 사용)
 
3. 현장실습 후
    - 현장실습 홈페이지에 보고서 작성 및 제출(학과장실 제출 불필요):
         - 주간보고서, 결과보고서, 만족도조사, 실습후기 등
    - 학과장실 제출 서류: 현장실습 전공학점 인정 사유서(첨부파일 참조) - 이론/실용 구분을 위한 서류이므로 반드시 제출 (현장실습 홈페이지에 보고서 입력하는 기한과 동일)      
    - 영어학과 학생(~17학번)은 진로취업센터에서 제공하는 서류(현장실습 학점인정 신청서) 학과장실에 추가 제출 
    
문의: ELLT학과장실 (hufs_elg@hufs.ac.kr)"
[약 1700만원 국비지원] 2024년 미국취업연수과정 연수생 선발,"한국산업인력공단 주관 + ICSGLOBAL 운영하는 2024년도 미국취업연수과정 연수생 선발을 진행합니다. 
최대 1700만원 수준의 국비지원을 바탕으로 집중적인 비지니스영어능력향상과 직무역량을 습득, 평균연봉 약 5000만원 수준 이상의 미국현지 기업에 취업하는 과정입니다. 
 
자세한 사항 및 연수과정 지원은  : http://www.icsglobal-hr.com 에서 확인 가능합니다."
2024년 4월 삼양그룹 신입사원 수시채용 모집,"메타버스 채용설명회
카카오톡에서 ‘삼양그룹 채용' 채널을 추가하시면 채용설명회 당일 링크를 받으실 수 있습니다. 
 
∙ 사전예약 : 04/03(수)~04/08(월) 23시 59분까지
∙ 온라인 채용설명회 : 4/12(금) 오전 10시~12시
 
*사전예약자 대상으로 링크 공유 예정
 
∙ 사전등록 바로가기 링크 : https://forms.gle/4NqGyGMo6psVbtiS8
*사전 등록 시 개별 연락처로 발송 예정
 
 1:1 직무멘토링
 
∙ 모집기간: 4/12(금)~ 선착순 마감
∙ 진행일시: 4/18(목) 오전 10시~12시 中 10분
∙ 진행방법: 현직자와 10분 동안 직무 관련 1:1 QnA 진행
 
*채용페이지/카카오채널을 통한 사전예약자 대상으로 선착순 진행
*신청 후 불참 시 추후 진행되는 멘토링 프로그램에 참여가 불가능합니다.
 
∙ 카카오톡 삼양그룹 채널 추가 : https://pf.kakao.com/_xlexoLxj?from=qr 
*1:1 직무멘토링 프로그램은 해당 채널을 통해 신청 가능합니다.
 
 
01. 대졸 신입 
 지원자격 (공통) 
∙ 2024년 6월 입사 가능자
∙ 해외여행에 결격사유가 없는 자
∙ 남성의 경우 군필자 또는 면제자 
∙ 공인 영어 말하기 성적 보유자 (OPlc 및 TOEIC SPEAKING에 한함)
- TOEIC SPEAKING/OPlc 110점 또는 IL 이상
- 서류접수 마감일 기준 2년 이내 유효 성적에 한함
* 해외대(영어권)의 경우는 영어성적 없이 지원 가능
* 해외대 졸업자의 경우, 최종합격 시 Apostille 또는 영사확인을 받은 학위/성적증명서 제출 필요
 
02. Junior Career
 전형소개 
Junior Career 전형은 직무 경험이 있는 신입사원을 모집합니다. 
대졸신입(R&D의 경우 신입 연구)과 별도의 초임 적용
 지원자격
관련 직무 정규직 경험 만 1년 이상 ~ 3년 미만인 자 
※ 영어성적 없이 지원 가능 
 
03. Global Talent
 지원자격
어학능력 native수준의 우수자 中 아래 ①, ②요건 중 하나를 만족하는 자
① 모집언어(영어, 일본어 등)를 사용하는 해외소재 대학 4년제 이상 학사 학위 소지자
② 해당 언어를 사용하는 국가 4년 이상 거주 경험이 있는 4년제 이상 졸업(예정)자
* ② case 지원자의 경우, 입사지원서 “기타활동”란 內 거주기간 입력 필수
* 전형과정 중 해당 국가별 어학면접 진행
* 국내에서 진행되는 채용전형에 모두 참여가 가능해야 합니다.
 
 신입사원 모집내용
전 직무 Junior Career 동시 진행
* 지원 시 전형 별 Junior Career 선택 필수
 
* 대졸신입 – Junior Career
* 신입연구 – Junior Career(연구)
* Global Talent – Junior Career(Global Talent)
 




모집부문

근무지

모집직무

모집전형



화학 부문

삼양사
(대전)

R&D(석사)

· 신입연구



삼양사
(종로)

해외영업

·Global Talent
(영어/일본어)



기획, EP영업,이온수지영업

· 대졸신입
·Global Talent
(영어)



삼양사
(전주)

기계설비

· 대졸신입



삼남석유화학
(여수)

품질관리,생산관리,기계설비,전기설비



삼양이노켐
(군산)

생산관리



식품 부문

삼양사
(판교)

식품안전,실수요영업



기획, Specialty영업

· 대졸신입
·Global Talent
(영어)



해외영업

·Global Talent
(영어/중국어)



삼양사
(아산)

품질관리

· 대졸신입



삼양사
(울산)

품질관리,생산관리



의약바이오 부문

삼양홀딩스
(판교)

R&D(석사)

· 신입연구



해외영업

·Global Talent
(영어)



경영지원,연구지원,국내영업

· 대졸신입



삼양홀딩스
(대전)

제품허가,품질관리약사,제조관리약사



패키징 부문

삼양패키징
(대전)

품질관리



삼양패키징
(종로)

제품개발,물류, S&OP



영업

·Global Talent
(영어/중국어/
일본어/베트남어)



Staff부문

삼양홀딩스
(종로)

HR/제도운영

· 대졸신입
·Global Talent



Global HR, Global재경,
Global전략

·Global Talent
(영어)





03. 인재 Pool 등록
[ Global Talent ] 




Global Business역량 보유자 상시 모집(재경, HR,전략기획,해외영업/마케팅,구매/소싱)
*채용 포지션 발생 시,인재풀 적합인원 개별 연락 후 채용진행
*지원서 제출일로부터1년간 유효
※ 자세한 내용은 삼양그룹 채용관 상시Pool공고 확인



 
[ 공정 엔지니어 ] 




화학/식품/바이오/패키징 모집(생산관리/품질관리/기계설비/환경안전)
*채용포지션 발생 시,인재풀 적합인원 개별 연락 후 채용진행
*지원서 제출일로부터1년간 유효
※ 자세한 내용은 삼양그룹 채용관 상시Pool공고 확인



 
 
# 접수기간
2024년 4월 3일 (수) ~ 2024년 4월 22일 (월) 09시까지 

# 지원방법
삼양그룹 ‘채용관’을 통해 접수
 
[ 삼양그룹 채용관 접속 방법 ] 
① 채용관 링크 접속  
https://samyang.wd3.myworkdayjobs.com/ko-KR/Samyang 
② 삼양그룹 홈페이지 > 채용 > 채용지원 접속 
https://www.samyang.com/kr 
※   채용 서류 반환을 원하는 분은 합격자 발표일로부터 1개월 이내에 recruit@samyang.com에 요청을 해주시기 바랍니다.    (단, 홈페이지로 접수한 입사지원서 등 서류는 반환 불가)
※ 입사지원서는 제출 마감 후 조회/수정 할 수 없으니, 미리 개별 저장 해주시기 바랍니다.
 
 
# 기타 
1. 문의 : 삼양그룹 홈페이지 Q&A 게시판을 이용 바랍니다. (채용 > 채용FAQ접속)
* https://www.samyang.com/kr/ 
2. 장애인 및 국가보훈 대상자는 관계법령에 의거 우대합니다. 
3. 기재내용이 허위로 판명될 경우 합격 및 입사가 취소됩니다.
4. 삼양그룹 공식 SNS : ‘Say Samyang’
* 블로그 : https://www.saysamyang.com/ 
* 페이스북 : https://www.facebook.com/saysamyang* 유튜브: https://www.youtube.com/user/samyangholdings/videos* 인스타그램 : https://www.instagram.com/say_samyang/ 
 
 
# 전형일정
서류전형(4월) -> 인적성 *온라인(4월 28일) -> 직무적성면접(5월 중) -> 인성면접(5월 말~6월 중) -> 입사(6월 중)
* 진행 날짜는 합격자 개별 통보 예정"
"[현대캐피탈] 2024 신입사원 채용 (~4/15(월), 16:00)","현대캐피탈에서 2024년 신입사원을 모집하고 있습니다.
금융으로 모빌리티를 선도하는 현대캐피탈에서 글로벌 리더로 성장할 인재들의 많은 관심과 지원 부탁드립니다.

■ 모집기간
4월 3일(수) 오전 9시 ~ 4월 15일(월) 오후4시
 
■ 모집분야
- Auto
- Digital/IT
- 금융사업
- 리스크관리
- 재경
- 해외사업
- 경영지원
 
■ 모집일정 
서류전형 > 코딩/과제테스트 > 인적성검사 > 면접전형 > 트라이얼위크 > 최종입사
 
*모집분야 및 상세 직무소개는 아래 링크 클릭을 통해 확인할 수 있습니다.  
 hcs.recruiter.co.kr 



























채용 페이지 바로보기"
에이피알 일본 뷰티 마케팅 각 분야별 집중채용,"◆ 온라인 채용설명회
신청기간
4/1(월) ~ 4/14(일) 18:00 까지
신청방법

아래 링크 접속 후 사전 신청
 참가 신청 페이지 링크
신청자 대상 온라인 설명회 링크 발송 예정

진행일정
4/15(월) 16:00 ~ 17:00
※온라인 채용설명회에서 다양한 상품 추첨이 진행될 예정이니, 많은 관심과 참여 부탁드립니다!

◆ 채용 직군

인플루언서 마케팅(PR) - 인턴/경력
온라인 MD - 인턴/경력
오프라인 채널 관리 - 경력 


◆ 채용 프로세스
서류전형 - 4/1(월) ~ 4/21(일)
온라인 채용 설명회 - 4/15(월) 16:00 ~ 17:00
면접전형 - 4월 말 이후 최종합격 및 입사 - 5월 중
※인턴/경력의 세부 프로세스는 상이하니 하단 공고 이미지 참고 부탁드립니다.


◆ 지원 방법
홈페이지 지원
※서류 접수 기간 : 4/1(월) ~ 4/21(일) 
 지원 바로가기 링크"
[아모레퍼시픽그룹] 2024 상반기 신입사원 수시채용 (~4/22),"2024 아모레퍼시픽그룹 상반기 신입사원 수시채용


■ 지원서 접수

접수기간 : 2024년 4월 1일(월) ~ 2024년 4월 22일(월) 23:59까지 (자정 전 마감)
접수방법 : 아모레퍼시픽 채용사이트 (https://m.site.naver.com/1ld1y)에서 접수
회원가입 → 'JOB APPLY'선택 → 'OPENING JOBS(채용 공고)' 선택 → 공고 지원 → 입사지원서(프로파일) 작성
기존 인재풀에 지원서를 등록한 경우 수정을 통해 지원 가능합니다.



■ 모집분야 및 자격요건
  AMOREPACIFIC 

데일리뷰티 영업관리

   - (공통) 학사이상 / 전공무관


뉴커머스 영업관리

   - (공통) 학사이상 / 전공무관


글로벌 수요계획

   - (공통) 학사이상 / 전공무관   - 비즈니스 영어 가능자



회계

   - (공통) 학사이상 / 전공무관


재무관리

   - (공통) 학사이상 / 전공무관



생산관리

   - (공통) 학사이상 / 전공무관


  AMOREPACIFIC / espoir 





메이크업BM

   - (공통) 학사이상 / 전공무관



콘텐츠 마케팅

   - (공통) 학사이상 / 전공무관

  ※  근무지, 우대사항, 전형절차 등 자세한 내용은 공고문을 확인해주세요. 




■ 문의처


AMOREPACIFIC : apcareers@amorepacific.com
espoir : mhjeon@espoir.com"
[주한미대사관] 청년 리더십 프로그램: 장애인 인식 개선 프로젝트,"4월은 장애인의 달입니다.우리는 왜 장애인에 대해 알아야 할까요?함께 살아가는 사회를 만들기 위해 필요한 것은 무엇일까요?선천적 장애에도 불구하고, 작가 그리고 직장 내 장애 인식 개선 강사로 활약하는 김남영 청년 활동가님의 도전적인 삶 속으로 여러분을 초대합니다. <김남영 강사님 인터뷰 영상>
주한미대사관 청년 리더십 프로그램 Youth in Action

일시: 2024년 4월 12일 (금) 15:30-16:30
장소: 주한미대사관 별관, 아메리칸 디플로머시 하우스 서울 (서울시 용산구 한강대로 72길 3)
강연자: 김남영 장애 인권 활동가 (직장 내 장애인 인식 개선 전문 강사/작가)

<약력>
-나는 장애를 극복하지 않았습니다. 작가
-한국장애인고용공단 장애인 인식개선 전문강사
-한국장애인재활협회 RI KOREA 청년위원
-춘천시지속가능발전협의회(SDG) 위원
-2023 장애청년드림팀 보건복지부장관 수상-2023 춘천시 장애수기 춘천시복지관장 수상

사전 참가 신청 필수:  https://bit.ly/202404usem (4/9일까지 선착순 마감)
문의:  koreanextgen@state.gov  / 02-397-4770"
[한화생명] 2024년 하반기 한화생명 신입사원 모집,"[한화생명] 2024년 하반기 신입사원 채용



■Break Fast 전형은?

여름방학(6주) 인턴십 이후, 2025년 1월에 입사하는 전형으로 입사 5개월 전 Fast하게 취업확정 받고, 나를 위한 Break를 가져보세요.!



■채용소개

1. Simple : 

-최대 2개 직무까지 복수지원 가능

-자기소개서 문항 3가지

-인적성 시험 없이 면접전형

*지원부터 면접까지 간단한 채용!



2. Break

-취업 후 5개월간 나를 위한 시간이 주어집니다.

*마음편한 급하지 않은 채용!



3. Fast

-학부기간이 남아 있어도 인턴십 및 예비한화인 가능

*조기 확정형 채용



■지원자격

-2024년 여름방학(6주) 인턴실습 후, 2025년 1월 입사 가능한 자

-학사 이상 기졸업자, 재학생일 경우 2025년 2월 중 졸업 가능한 자

-병역필 또는 면제자로 해외여행에 결격사유가 없는 자



■서류모집

2024. 4. 1(월) - 4. 15(월) 15:00 까지



■채용분야

전직무(영업마케팅, 상품개발, 보험계리, 투자, IT개발, 데이터분석, 보험지원, 경영지원, 글로벌)



■채용정보

라이브 채용설명회 참여신청하기https://www.careertalk.kr/event/livehanwhalife

채용 상세정보 확인하기https://www.recruit-hanwhalife.co.kr/

*라이브 채용설명회 이벤트 진행 예정



[한화생명] 2024년 하반기 외국인 유학생 신입 채용

[Hanwha Life 2024 Global Recruitment for Foreigners]
 
1.    채용전형: Break Fast(조기 취업 확정형) 채용전형
-2024년 여름방학 기간 중 6주간 인턴실습  → 인턴실습 종료 후 8월 중 취업확정
→ 2024년 9~12월 리텐션 진행 → 2025년 1월 입사 진행
 
2.    지원자격
-2024년 여름방학기간 동안 인턴실습 후, 2025년 1월 입사가 가능한 자
- 국내 대학 학사 이상 기졸업자 또는 2025년 2월 졸업예정자
-외국국적 보유자로, 한국에서의 인턴근무를 위한 비자 허가 및 신고가 가능한 자
-한국어 능력시험 TOPIK 4급 이상 또는 사회통합프로그램 KIIP 4단계 이상 이수자
 
3.    서류모집: 4.1(월)~4.15(월) 15시까지
 
4.    채용분야: Global Business

5.    기타사항
-재학생일 경우, 시간제 취업 활동 허가를 위한 지원을 진행할 예정입니다.
-채용연계형 인턴십으로, 인턴이후 우수인재에 대해서 신입사원 정규직 채용이 진행됩니다.
-인턴십의 경우 하루 8시간, 주 5일 여의도 63빌딩에서 진행되며, 인턴십 활동비가 지급됩니다.
 
6.    채용 상세정보 확인: https://www.recruit-hanwhalife.co.kr/en























︎  (이하) 공식 채용공고문 이미지"
[EBS온라인멘토링사무국] 2024년 국방부-EBS 교육멘토링 온라인 대학생 멘토 모집,"「2024 국방부-EBS 교육멘토링」 온라인 멘토를 다음과 같이 공개 모집합니다
   
□ 공모 분야
 
지역 이동이 잦은 군인 자녀들에게 학습 노하우 전수 및 교육적 혜택의 기회 제공을 위해 실질적인 방안을 선도적으로 시행하고자 진행하고있는 「국방부-EBS 교육멘토링」 사업에 함께 학습을 맡아주실 성실하고 역량 있는 온라인 멘토분을 모시고자 합니다.
 
□ 공모대상 및 응모자격





공모대상

모집인원

분야

모집대상



온라인 멘토

○명

- 1:1온라인 멘토링 멘토

- 4년제 대학(원) 재학생 또는 휴학생
 
- 초,중 학생들(청소년)과 교감하고 즐겁게 멘토링을 진행할 수 있는 대학(원)생
 
- 1년동안 EBS대학생 멘토단으로 활동 가능한 대학(원)생




 
□ 활동 기간 및 내용
 
1) 활동 기간
 
- 2024년 3월 ~ 12월
 
- 활동 시간 : 시간표 및 가용시간에 맞춰 조율
 
2) 내용
 
- 매칭된 초·중 학생에 대해 일정에 맞춰 온라인 화상 멘토링 진행
 
- 자기주도학습, 진로, 생활 상담 및 학습 노하우 지도
 
3) 활동 혜택
 
- 멘토링 활동비(활동 완료시 일괄 지급)
 
- 멘토 역량 강화 교육
 
- 한국교육방송공사 멘토링 활동증명서(활동 완료시 일괄 발급)
 
□ 모집 기간
 
2024년 3월 11일 (월) ~ 4월 8일 (월)
 
□ 모집 방법 및 절차
 
1) 접수 방법
 
- 아래 링크 접속 후 구글 폼 작성
 
링크 : https://moaform.com/q/iaNXus
 
2) 모집 절차
 
- 1 차 : 서류접수 및 심사
 
- 2 차 : 1:1 화상면접
 
- 3 차 : OT 및 필수교육 수료
 
□ 최종합격자 발표 : 면접 시행 후 7일 이내 합격자 개별 통보
 
※ 심사일정에 따라 발표 시기는 조정될 수 있습니다.
 
□ 활동장소
 
- 화상강의 플랫폼을 활용하여 멘토링이 가능한‘독립된 조용한’장소
 
(EX. 개인 방, 스터디룸(1인), 빈 강의실 등)
 
□ 문의 : 02-3274-9293
 
※ 본 멘토링은 교육봉사로 인정되지 않는 대외활동입니다.


강 윤 지 Kahng Yunji
평생교육센터 | 연구원
 
M. 010.8936.7945     T. 02.3274.9208
E. sugayg@kma.or.kr   F. 02.3274.9288
서울시 영등포구 여의도동 의사당대로 22 9층"
[두산밥캣] 2024 두산밥캣 신입 공개 채용 (~4/8),"[두산밥캣] 2024 두산밥캣 신입 공개 채용 (~4/8)





    두산밥캣 채용 안내사이트 
     - 두산밥캣 채용 안내사이트에서 더 많은 정보를 확인하세요!
     - https://bit.ly/doosanbobcat-1




  ■ 서류지원 자격

접수 기간 :  2024년 3월 29일(금) ~ 4월 8일(월) 18시까지
접수 방법 : 두산 채용홈페이지 '커리어두산'(http://career.doosan.com)을 통해 지원 가능

      ※ 18시 이후 접수 불가       ※ 서류접수시 DBS(Doosan Biodata Survey) 반드시 응시 후 최종 접수


  ■ 모집부문 

[두산밥캣]

         - Business Development, 회계

[두산밥캣 코리아]

         - 품질, 생산, EHS, 전장/Embedded System 설계, 구조 설계, 기능 설계/신뢰성 검증
       ※ 직무별 상세 내용은 공고문 및 채용 안내사이트(https://bit.ly/doosanbobcat-1) 참조



  ■ 공통자격 

'24년 7월 입사 가능자 (기졸업자 또는 '24년 8월 졸업예정자)
모집분야별 전공 및 자격요건 이외에도 동일 전문성을 갖추고 있는 자는 지원 가능
최소 어학기준- TOEIC Speaking : 인문 110점, 이공 90점 이상- OPIc : 인문 IM(Intermediate Mid), 이공 IL(Intermediate Low)등급 이상
해외여행에 결격사유가 없는 분
남자의 경우 병역을 필하였거나 면제된 분



  ■ 전형절차 

서류 접수 > 서류 평가 > DCAT 전형 > 1차 면접 > 최종 면접 > 신체 검사 > 최종 입사



  ■ 기타사항 

전형 단계 : 입사지원서(DBS)  두산종합적성검사(DCAT)  1차 면접  최종 면접  신체검사  최종 입사
전형 발표 : 두산 채용홈페이지 '커리어두산'에 발표 (발표 전 문자 알림)
입사 자격 : 각 전형 단계 참석 및 신체 검사 최종 합격자
입사 취소 : 입사 자격에 부합하지 않거나 입사지원서 내용이 사실과 다른 경우
우대 사항 : 장애인 및 보훈대상자는 관련 법률에 의해 우대
문의처 : 두산 채용홈페이지 '커리어두산'  상단 탭 '입사지원하기'에서 'FAQ'  '궁금합니다'를 통해 문의             문의를 남기신 메일주소(커리어두산 ID)로 답변 예정"
[국토교통부][국비무료교육][해외비즈니스영어중국어일본어스페인어과정],"본 교육은 국토부에서 주관하는 교육으로 모든 비용이 국비로 진행되며

현지 대학처럼 모든 과목이 해당 원어로 진행됩니다.

*전반적인 비즈니스 프로세스를 해당 언어로 훈련

*효과적인 교육을 위해 레벨테스트를 진행하여 수준별로 나누어 진행됩니다.

*참여자들에게는 교육비 전액이 지원되며, 추가로 매월 훈련장려금을 지급해 드립니다.

*대상은 3학년, 4학년 재학생 및 졸업자
1) 취업 준비를 하시는 분(국내/외국계 회사, 무역, 해외영업, 마케팅, 물류, 서비스업 등)
2) 어학/외국어 능력 향상을 희망하시는 분(어학시험 준비, 스피킹 향상, 비즈니스 교육 등)
3) 해당 언어로 준비하는 면접. 이력서/자소서 및 취업 관련 정보를 원하시는 분

*교육기간
-영어 : 2024.06.18.(화) ~ 2024.08.28.(수)
-중국어 : 2024.06.20.(목) ~ 2024.08.26.(월)
-스페인어 : 2024.06.19.(수) ~ 2024.08.23.(금-일본어 : 2024.06.18.(화) ~ 2024.08.28.(금)

*접수마감 : 2024.04.21.(일)까지

*홈페이지
영어 : http://www.educon.or.kr/edu/edu_2/apply_2.php
중국어: http://www.educon.or.kr/edu/edu_4/apply.php
스페인어: http://www.educon.or.kr/edu/edu_5/apply.php
일본어: http://www.educon.or.kr/edu/edu_7/apply.php
교육후기게시판 : http://www.educon.or.kr/edu/community/review2.php

*문의
정구영차장 010-4150-9058
대표번호 : 02-572-7123
카카오톡 : 상단 [검색]에서 educon을 검색하여 해당 교육 추가

○ 활동내용

국토교통부 지정 교육기관 에듀콘에서 해외 비즈니스 외국어과정 교육생을 모집합니다.
수강료 및 교재비 전액 국비 지원! (훈련비 3백만원 상당)
유학? 에듀콘에서라면 국내에서도 가능해!
우수 교육생은 국토교통부 장관상을 받을 수 있는 기회까지!
1. 비즈니스 교육
- 해당 외국어를 사용한 비즈니스 훈련
- 시뮬레이션을 통해 중국어/스페인어/일본어/영어 면접 및 미팅 실시
- 프레젠테이션 훈련을 통해 발표 능력 향상
2. 성공취업
- 국내/해외 취업 필수 역량인 중문/서문/일문/영문 자기소개서 및 이력서 작성과 첨삭
- 취준생에게 필수 관문인 외국어 면접 준비
- 전문원어민 강사진의 트레이닝
3. 인적 네트워크 형성
- 다양한 전공, 경력의 훈련생들과의 만남을 통한 네트워킹
- 그룹 프로젝트 및 디스커션을 통한 팀워크 형성
4. 교육비 전액 지원
- 출석률에 따라 매 단위기간마다 훈련장려금 지급
- 수강료 및 교재비 전액 국비지원
- 모집일정 포스터 참조
- 월 ~ 금 (09:00 ~ 16:00/17:00)
○ 우대 사항
- 우선선발 : 졸업예정자 4년제(4학년), 3년제(3학년), 2년제(2학년) 우선 선발
- 청년취업 맞춤형 교육(청년층 미취업자 우선 선발)
○ 지역
- 대면수업, 건설산업교육원(서울 양재역 인근)"
[서울시 개발자 데뷔코스] 실무 프로젝트 기반 금융데이터 분석가 양성 과정 6기 모집,"[서울시 개발자 데뷔코스] 실무 프로젝트 기반 금융데이터 분석가 양성 과정 6기 모집
서울특별시와 서울경제진흥원이 SW혁신 인재 양성을 위해 조성한 청년취업사관학교 새싹(SeSAC)!
※새싹은 개발자를 꿈꾸는 청년들이 ‘SW 개발자로 데뷔’할 수 있도록 돕는 서울시의 무료 교육입니다.

서울경제진흥원이 주관하고, 삼성청년SW아카데미(SSAFY) 운영사 멀티캠퍼스가 운영하는 새싹 [실무 프로젝트 기반 금융데이터분석가 양성 과정] 6기를 모집합니다!
교육신청 바로가기: https://bit.ly/3P9sHtI

│멀티캠퍼스 교육만의 특장점
 IT기초지식강화를 위한 사전학습 제공!
과정 4주 전, 사전 학습을 위한 마이크로콘텐츠를 제공합니다.
 코딩테스트 대비 다양한 알고리즘 학습 진행
최근 채용 시 증가한 코딩테스트도 대비하고,다양한 알고리즘 문제를 접하며 문제해결 능력을 향상시킬 수 있습니다.
 주기적인 코드 리뷰와 Reflection Session
약 5일 주기 코드 리뷰를 통해 체계적인 복습을 진행합니다.
 실무와 동일한 개발 환경에서의 실습
Github, Notion, Slack 등 협업 도구를 활용하면서 현업의 개발 환경 및 Flow를 익힙니다.

│교육생 대상 특별 지원
 교육비 무료!
1,000만 원 상당의 교육비가 전액 지원됩니다. * 단, 교육 시작 전 예치금 20만원 납부가 필요하며, 해당 예치금은 수료 시 전액 반환됩니다.
 취업 연계 서비스
신한은행, KB국민은행 등 69개 이상의 협약 기업과 함께하는 취업연계 서비스가 지원됩니다.
 중식 지원!!
밥 걱정없이 든든하게! 교육에만 집중해주세요
 강의 교재 제공
다른 강의에서는 구할 수 없는 교재가 지원됩니다.

│교육 안내
 모집 대상
수강신청일 기준, 만 15세 이상의 서울시민(주소지 등록 기준)이면서
분야별 기초 지식을 갖추고 교육 수료 직후 취업 활동을 하실 분(내일배움카드 필요)
 교육 일정
24.05.13(월)~24.10.25(금)
※월 - 금 09 ~ 18시, 총 880시간
 교육 내용
디지털 금융 파이썬 기초, DB&SQL, 실전 금융데이터 분석(퀀트), 머신러닝/딥러닝,핀테크 심화 프로젝트 실습, 현업 기반 팀 프로젝트 등
 대면교육 장소
청년취업사관학교 영등포캠퍼스(서울특별시 영등포구 선유로9길 30 106동)
※대면/비대면/이러닝 혼합으로 진행

│선발 일정
 접수 일정: ~2024.04.21(일) 23:59
 선발 인원: 40명
 서류 합격자 발표: 24.04.23(화)
 1차 필기테스트: 24.04.25(목)
 2차 대면 면접: 24.04.29(월)
 최종 합격자 발표: 24.05.02(목)
 교육 시작: 24.05.13(월)
※ 선발 일정은 내부 사정에 따라 변경될 수 있으며, 변경 시 사전 공지 예정입니다.

IT 전문 교육 기관 멀티캠퍼스와 함께
IT 새싹에서 개발자로 멋지게 데뷔 하시길 바랍니다!

교육신청 바로가기  : https://bit.ly/3P9sHtI"
